;product_id;origin;brand;name;reference;type;category;price;areaApplication;analysisDate;quantity;petitionDate;priority;evaluators;packaging;testedBy;consistency;brightness;firmness;stickiness;aqueousSensation;oilyFeeling;freshSensation;extensibility;easyAbsorption;glossSkin;skinStickiness;amountResidue;smoothnessSkin;silkyRes;waxyRes;greasyRes;oilyRes;homogeneity
151;64ff2f83a3a41f5c7f676b95;PUIG;CHARLOTTE TILBURY ;PUIG_00054;6759F0005;FACIAL CREAM;PRESTIGE;90.0;FACE;26/10/2020;;;;;GLASS JAR;15.0;8.27;4.7;6.3;6.14;3.22;6.37;2.99;4.23;53.8;5.07;3.64;3.44;6.7;81.3;6.3;12.5;0.0;
152;64ff2f83a3a41f5c7f676b96;PUIG;CHARLOTTE TILBURY ;PUIG_00055;6759G0001;FACIAL CREAM;PRESTIGE;90.0;FACE;26/10/2020;;;;;GLASS JAR;15.0;8.11;5.56;6.39;6.37;3.41;6.23;2.85;4.54;55.8;5.08;3.55;3.85;6.41;87.5;6.3;6.3;0.0;
153;64ff2f83a3a41f5c7f676b97;PUIG;CHARLOTTE TILBURY ;PUIG_00056;6759G0009;FACIAL CREAM;PRESTIGE;90.0;FACE;16/11/2020;;;;;GLASS JAR;15.0;7.56;5.39;5.41;5.37;3.81;6.07;4.14;4.55;58.73;4.47;3.46;3.88;6.44;75.0;0.0;25.0;0.0;
154;64ff2f83a3a41f5c7f676b98;PUIG;CHARLOTTE TILBURY ;PUIG_00057;6759G0010;FACIAL CREAM;PRESTIGE;90.0;FACE;16/11/2020;;;;;GLASS JAR;15.0;7.78;5.01;5.75;5.57;3.67;6.07;3.68;4.42;56.53;4.19;3.34;3.71;6.19;75.0;6.3;18.8;0.0;
155;64ff2f83a3a41f5c7f676b99;PUIG;CHARLOTTE TILBURY ;PUIG_00058;6759G0011;FACIAL CREAM;PRESTIGE;90.0;FACE;16/11/2020;;;;;GLASS JAR;15.0;7.33;5.56;5.49;5.47;3.95;5.78;3.73;4.77;60.67;4.75;3.26;3.38;6.32;68.8;0.0;31.3;0.0;
156;64ff2f83a3a41f5c7f676b9a;PUIG;CHARLOTTE TILBURY ;PUIG_00059;6759G0016;FACIAL CREAM;PRESTIGE;90.0;FACE;25/11/2020;;;;;GLASS JAR;14.0;7.5;6.21;5.74;5.86;3.76;5.99;3.87;4.24;60.57;5.05;3.21;3.66;6.34;81.3;0.0;18.8;0.0;
157;64ff2f84a3a41f5c7f676b9b;PUIG;CHARLOTTE TILBURY ;PUIG_00060;6759G0017;FACIAL CREAM;PRESTIGE;90.0;FACE;25/11/2020;;;;;GLASS JAR;14.0;8.37;4.32;6.42;6.4;3.07;6.88;2.71;3.88;58.79;5.26;3.74;3.96;6.16;66.7;0.0;33.3;0.0;
158;64ff2f84a3a41f5c7f676b9c;PUIG;CHARLOTTE TILBURY ;PUIG_00061;6759G0020;FACIAL CREAM;PRESTIGE;90.0;FACE;30/11/2020;;;;;GLASS JAR;12.0;7.33;6.53;5.1;5.31;3.87;6.28;3.56;4.8;79.17;4.83;3.76;4.38;6.52;50.0;0.0;50.0;0.0;
159;64ff2f84a3a41f5c7f676b9d;PUIG;CHARLOTTE TILBURY ;PUIG_00062;6759G0022;FACIAL CREAM;PRESTIGE;90.0;FACE;30/11/2020;;;;;GLASS JAR;12.0;8.03;5.06;6.28;6.2;3.44;5.88;3.03;4.5;75.08;4.39;3.99;4.27;5.84;53.8;0.0;35.8;7.7;
160;64ff2f84a3a41f5c7f676b9e;PUIG;CHARLOTTE TILBURY ;PUIG_00063;6759G0024;FACIAL CREAM;PRESTIGE;90.0;FACE;09/12/2020;;;;;GLASS JAR;12.0;7.38;5.91;5.28;5.45;4.16;5.72;4.01;4.68;73.08;6.1;4.32;4.35;6.03;42.9;7.1;50.0;0.0;
